id_venta,fecha,cliente_id,producto,categoria,monto,metodo_pago,ciudad,vendedor,descuento_aplicado,reembolsado
1,2024-01-15,1102,Tablet,Electrónica,1893.05,Transferencia,Amandamouth,Jeffery Bailey,0.08,0
2,2024-01-15,1435,Teclado,Accesorios,1040.8,Transferencia,Carrmouth,Jill Butler,0.17,0
3,2024-01-15,1860,Celular,Tecnología,2484.07,Efectivo,Cindyborough,Victor Burke,0.15,0
4,2024-01-15,1270,Teclado,Tecnología,1121.02,Transferencia,Andersonchester,Matthew Valentine,0.15,0
5,2024-01-15,1106,Celular,Tecnología,150.97,Tarjeta,North Sarahaven,Mia Mcguire,0.0,1
6,2024-01-15,1071,Tablet,Tecnología,2500.43,Efectivo,Woodfurt,Mary Baker,0.08,0
7,2024-01-15,1700,Celular,Tecnología,1068.32,Efectivo,Russelltown,Danielle Martinez,0.1,0
8,2024-01-15,1020,Celular,Electrónica,2332.81,Efectivo,Lake Andrewmouth,Charles Schneider,0.0,0
9,2024-01-15,1614,Celular,Tecnología,1120.14,Tarjeta,Harringtonburgh,James Owens,0.05,0
10,2024-01-15,1121,Laptop,Tecnología,2590.15,Transferencia,New Matthew,Leslie Wilson,0.15,0
11,2024-01-15,1466,Laptop,Tecnología,697.56,Tarjeta,Smithside,Steven Woods,0.03,0
12,2024-01-15,1214,Laptop,Tecnología,2924.91,Efectivo,North Matthew,Joel Massey DDS,0.11,0
13,2024-01-15,1330,Tablet,Accesorios,2350.29,Tarjeta,New Jennifer,Michael Velazquez,0.04,0
14,2024-01-15,1458,Teclado,Electrónica,387.0,Tarjeta,New James,Destiny Silva,0.0,0
15,2024-01-15,1087,Mouse,Tecnología,1719.04,Transferencia,South Mauricemouth,Elizabeth Jimenez,0.05,0
16,2024-01-15,1372,Celular,Tecnología,2956.83,Transferencia,Powellstad,Karen Smith,0.2,0
17,2024-01-15,1099,Celular,Tecnología,1439.64,Efectivo,Perezborough,Sydney Romero,0.16,0
18,2024-01-15,1871,Tablet,Electrónica,587.22,Tarjeta,Orrside,Barry Dean,0.19,0
19,2024-01-15,1663,Celular,Accesorios,1480.1,Tarjeta,Nicoleville,Michael Parker,0.1,0
20,2024-01-15,1130,Laptop,Electrónica,1561.75,Transferencia,Katrinaton,Edwin Kirby,0.02,0
21,2024-01-15,1661,Mouse,Accesorios,2237.98,Tarjeta,Sheilaville,Wendy Jones,0.11,0
22,2024-01-15,1308,Audífonos,Tecnología,2111.6,Tarjeta,Port Julie,Amanda Cox,0.09,0
23,2024-01-15,1769,Celular,Tecnología,1237.52,Tarjeta,North Benjamin,Suzanne Leblanc,0.17,0
24,2024-01-15,1343,Laptop,Electrónica,693.17,Transferencia,North Stephanie,William Caldwell,0.02,0
25,2024-01-15,1491,Audífonos,Electrónica,1952.91,Efectivo,Stewartville,Steven Larson,0.1,0
26,2024-01-15,1413,Mouse,Accesorios,1294.03,Efectivo,South Kellyland,Brett Obrien,0.03,0
27,2024-01-15,1805,Audífonos,Accesorios,440.21,Tarjeta,West Brandonland,Elizabeth Davidson,0.06,0
28,2024-01-15,1385,Laptop,Electrónica,2706.69,Efectivo,Lake Michael,Taylor Garcia,0.15,0
29,2024-01-15,1191,Teclado,Accesorios,2089.1,Transferencia,Andersonview,David Baker,0.1,0
